NAME_1,NAME_2,GID_1,GID_2,Average_Accessibility
Hainan,Danzhou,460000,460400,0.009298406684866416
Hainan,Haikou,460000,460100,0.09400916763498814
Hainan,NULL,460000,0,0.010638041568628328
Hainan,"Sansha
",460000,460030,0.03496481024700662
Hainan,Sanya,460000,460200,0.06281423789824732
Neimenggu,Alashan,150000,152900,0.00018800556557108737
Neimenggu,Baotou,150000,150200,0.0007728229213440763
Neimenggu,Bayannaoer,150000,150800,0.00023716245730654443
Neimenggu,Chifeng,150000,150400,5.474758232407578e-05
Neimenggu,Eerduosi,150000,150600,0.0009303152665279384
Neimenggu,Huhehaote,150000,150100,0.002755195872678128
Neimenggu,Hulunbeier,150000,150700,8.625078343438496e-05
Neimenggu,Tongliao,150000,150500,3.6861974431488486e-05
Neimenggu,Wuhai,150000,150300,0.0021227132983324005
Neimenggu,Wulanchabu,150000,150900,0.00035152614053523043
Neimenggu,Xilinguole,150000,152500,3.479195282321769e-05
Neimenggu,Xingan,150000,152200,3.525902381702459e-05
Sichuan,Abazangzuqiangzu,510000,513200,0.0003978630565137393
Sichuan,Bazhong,510000,511900,0.0017282223825474763
Sichuan,Chengdu,510000,510100,0.06210223874307909
Sichuan,Dazhou,510000,511700,0.0015480938066585023
Sichuan,Deyang,510000,510600,0.006995114413174716
Sichuan,Ganzizangzu,510000,513300,0.0001716725442807662
Sichuan,Guangan,510000,511600,0.003001409557373484
Sichuan,Guangyuan,510000,510800,0.004794824608741136
Sichuan,Leshan,510000,511100,0.0028065824934511946
Sichuan,Liangshanyizu,510000,513400,0.0002716195814738087
Sichuan,Luzhou,510000,510500,0.0025984907526284693
Sichuan,Meishan,510000,511400,0.006546644893179437
Sichuan,Mianyang,510000,510700,0.004830448063450714
Sichuan,Nanchong,510000,511300,0.003233633397272257
Sichuan,Neijiang,510000,511000,0.003171515979355188
Sichuan,Panzhihua,510000,510400,0.0013713643881046273
Sichuan,Suining,510000,510900,0.002741196854794841
Sichuan,Yaan,510000,511800,0.0020118615251645397
Sichuan,Yibin,510000,511500,0.003218446943690244
Sichuan,Zigong,510000,510300,0.003151569512666983
Sichuan,Ziyang,510000,512000,0.004392044332847922
Heilongjiang,Daqing,230000,230600,0.0002930850830665163
Heilongjiang,Daxinganling,230000,232700,0.00037297361252000403
Heilongjiang,Haerbin,230000,230100,0.0009221418599730583
Heilongjiang,Hegang,230000,230400,9.40663008211332e-05
Heilongjiang,Heihe,230000,231100,0.0001125322612025927
Heilongjiang,Jiamusi,230000,230800,9.663116698391085e-05
Heilongjiang,Jixi,230000,230300,9.74214068346868e-05
Heilongjiang,Mudanjiang,230000,231000,0.00015470716500245462
Heilongjiang,Qiqihaer,230000,230200,8.022783136791039e-05
Heilongjiang,Qitaihe,230000,230900,0.00022998880384392264
Heilongjiang,Shuangyashan,230000,230500,0.00012748072717154774
Heilongjiang,Suihua,230000,231200,0.00014207168063068554
Heilongjiang,Yichun,230000,230700,9.808116075065401e-05
Xinjiang,Akesu,650000,652900,7.444033226069323e-05
Xinjiang,Aletai,650000,654300,0.00033250023110433646
Xinjiang,Bayinguolengmenggu,650000,652800,0.00024080854874709685
Xinjiang,Boertalamenggu,650000,652700,0.00021122022048916455
Xinjiang,Changjihuizu,650000,652300,0.000279560092065252
Xinjiang,Hami,650000,650500,0.00023771692409454588
Xinjiang,Hetian,650000,653200,5.949766569292435e-05
Xinjiang,Kashi,650000,653100,0.00022092754588464052
Xinjiang,Kelamayi,650000,650200,0.004881060161745587
Xinjiang,Kezilesukeerkezi,650000,653000,4.614167937346691e-05
Xinjiang,NULL,650000,0,0.0006810104258496607
Xinjiang,Tacheng,650000,654200,7.795715990572034e-05
Xinjiang,Tulufan,650000,650400,0.00039276404550687586
Xinjiang,Wulumuqi,650000,650100,0.0034257879939030584
Xinjiang,Yilihasake,650000,654000,0.001157465101022085
Gansu,Baiyin,620000,620400,0.0005039080884771571
Gansu,Dingxi,620000,621100,0.0006286595388242819
Gansu,Gannanzangzu,620000,623000,0.00012795532292162368
Gansu,Jiayuguan,620000,620200,0.003572908830849123
Gansu,Jinchang,620000,620300,0.0005681223550242244
Gansu,Jiuquan,620000,620900,0.00041553635211372765
Gansu,Lanzhou,620000,620100,0.0055506040013788135
Gansu,Linxiahuizu,620000,622900,0.0008886930874705699
Gansu,Longnan,620000,621200,0.00017806311065853649
Gansu,Pingliang,620000,620800,0.0011697727822391486
Gansu,Qingyang,620000,621000,0.0007530411371363879
Gansu,Tianshui,620000,620500,0.0007719306635520272
Gansu,Wuwei,620000,620600,0.0003296659722446971
Gansu,Zhangye,620000,620700,0.0006841620225192908
Hebei,Baoding,130000,130600,0.007908875172326689
