NAME_1,NAME_2,GID_1,GID_2,Average_Accessibility
Hainan,Danzhou,460000,460400,0.0
Hainan,Haikou,460000,460100,0.202516531232433
Hainan,NULL,460000,0,0.20109035974749667
Hainan,"Sansha
",460000,460030,0.0
Hainan,Sanya,460000,460200,2.114838940164121
Neimenggu,Alashan,150000,152900,0.0
Neimenggu,Baotou,150000,150200,0.010629964510701126
Neimenggu,Bayannaoer,150000,150800,0.0
Neimenggu,Chifeng,150000,150400,0.015895842217523055
Neimenggu,Eerduosi,150000,150600,0.0508079383870577
Neimenggu,Huhehaote,150000,150100,0.1940328959717565
Neimenggu,Hulunbeier,150000,150700,0.03307148509626808
Neimenggu,Tongliao,150000,150500,0.0
Neimenggu,Wuhai,150000,150300,0.0
Neimenggu,Wulanchabu,150000,150900,0.0
Neimenggu,Xilinguole,150000,152500,0.0
Neimenggu,Xingan,150000,152200,0.10614748040218983
Sichuan,Abazangzuqiangzu,510000,513200,0.0
Sichuan,Bazhong,510000,511900,0.0
Sichuan,Chengdu,510000,510100,0.34500586642377223
Sichuan,Dazhou,510000,511700,0.0
Sichuan,Deyang,510000,510600,0.03781868844310064
Sichuan,Ganzizangzu,510000,513300,0.0
Sichuan,Guangan,510000,511600,0.0
Sichuan,Guangyuan,510000,510800,0.0
Sichuan,Leshan,510000,511100,0.08399157466538855
Sichuan,Liangshanyizu,510000,513400,0.0
Sichuan,Luzhou,510000,510500,0.05830820003908421
Sichuan,Meishan,510000,511400,0.014131672342495016
Sichuan,Mianyang,510000,510700,0.22788897072933825
Sichuan,Nanchong,510000,511300,0.0
Sichuan,Neijiang,510000,511000,0.0
Sichuan,Panzhihua,510000,510400,0.14297147658543927
Sichuan,Suining,510000,510900,0.0
Sichuan,Yaan,510000,511800,0.0
Sichuan,Yibin,510000,511500,0.011245540940792642
Sichuan,Zigong,510000,510300,0.16360139328437054
Sichuan,Ziyang,510000,512000,0.0
Heilongjiang,Daqing,230000,230600,0.0770990669252492
Heilongjiang,Daxinganling,230000,232700,0.0
Heilongjiang,Haerbin,230000,230100,0.0313094270570836
Heilongjiang,Hegang,230000,230400,0.05418293590871145
Heilongjiang,Heihe,230000,231100,0.0
Heilongjiang,Jiamusi,230000,230800,0.023409164261723937
Heilongjiang,Jixi,230000,230300,0.06428775872226412
Heilongjiang,Mudanjiang,230000,231000,0.01875591899621289
Heilongjiang,Qiqihaer,230000,230200,0.012523970730219778
Heilongjiang,Qitaihe,230000,230900,0.05020176178360661
Heilongjiang,Shuangyashan,230000,230500,0.03162040966300424
Heilongjiang,Suihua,230000,231200,0.0
Heilongjiang,Yichun,230000,230700,0.0
Xinjiang,Akesu,650000,652900,0.0
Xinjiang,Aletai,650000,654300,0.13704912503770522
Xinjiang,Bayinguolengmenggu,650000,652800,0.09531142885976518
Xinjiang,Boertalamenggu,650000,652700,0.220341407133233
Xinjiang,Changjihuizu,650000,652300,0.04056614070069578
Xinjiang,Hami,650000,650500,0.09428565087653225
Xinjiang,Hetian,650000,653200,0.0
Xinjiang,Kashi,650000,653100,0.013100047385514298
Xinjiang,Kelamayi,650000,650200,0.0
Xinjiang,Kezilesukeerkezi,650000,653000,0.0
Xinjiang,NULL,650000,0,0.07013377955097684
Xinjiang,Tacheng,650000,654200,0.08486698693976981
Xinjiang,Tulufan,650000,650400,0.13695309683422377
Xinjiang,Wulumuqi,650000,650100,0.12509823200833126
Xinjiang,Yilihasake,650000,654000,0.0
Gansu,Baiyin,620000,620400,0.0
Gansu,Dingxi,620000,621100,0.0
Gansu,Gannanzangzu,620000,623000,0.0
Gansu,Jiayuguan,620000,620200,0.24909289908207818
Gansu,Jinchang,620000,620300,0.0
Gansu,Jiuquan,620000,620900,0.0
Gansu,Lanzhou,620000,620100,0.09403226768490361
Gansu,Linxiahuizu,620000,622900,0.0
Gansu,Longnan,620000,621200,0.0
Gansu,Pingliang,620000,620800,0.06232449305018585
Gansu,Qingyang,620000,621000,0.034660156747591785
Gansu,Tianshui,620000,620500,0.0
Gansu,Wuwei,620000,620600,0.0
Gansu,Zhangye,620000,620700,0.0
Hebei,Baoding,130000,130600,0.06682886842578892
Hebei,Cangzhou,130000,130900,0.1004833550548106
Hebei,Chengde,130000,130800,0.0
Hebei,Handan,130000,130400,0.09450389776771478
Hebei,Hengshui,130000,131100,0.010825399836936683
Hebei,Langfang,130000,131000,0.10021539033057562
Hebei,Qinhuangdao,130000,130300,0.015603038022623798
Hebei,Shijiazhuang,130000,130100,0.08325850922627917
Hebei,Tangshan,130000,130200,0.09168692217122086
Hebei,Xingtai,130000,130500,0.10345783044169374
Hebei,Zhangjiakou,130000,130700,0.12198399584927941
Xizang,Ali,540000,542500,0.0
Xizang,Changdu,540000,540300,0.0
Xizang,Lasa,540000,540100,0.3397743731522332
Xizang,Linzhi,540000,540400,0.0
Xizang,Naqu,540000,540600,0.5749591235132122
Xizang,Rikaze,540000,540200,0.10491995989726777
Xizang,Shannan,540000,540500,0.0
Jiangxi,Fuzhou,360000,361000,0.01639740119758039
Jiangxi,Ganzhou,360000,360700,0.008966153296153067
Jiangxi,Jian,360000,360800,0.019029213783599782
Jiangxi,Jingdezhen,360000,360200,0.07083895758911891
Jiangxi,Jiujiang,360000,360400,0.04421430700993679
Jiangxi,Nanchang,360000,360100,0.15754199493283474
Jiangxi,Pingxiang,360000,360300,0.031054278790436183
